item_id,task_type,dataset_name,source_index,perturbation_type,construction_method,method_reference,validation_check,original_prompt,perturbed_prompt
factual_qa_8554,factual_qa,mandarjoshi/trivia_qa,8554,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,Which Chilean socialist leader was deposed and killed by General Pinochet during a U.S. backed coup in 1973?,backed coup in 1973? Which Chilean socialist leader was deposed and killed by General Pinochet during a U.S.
factual_qa_8562,factual_qa,mandarjoshi/trivia_qa,8562,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Which club did he play for from 1936 to 1941? Matt Busby played for Manchester City from 1928 to 1936.
factual_qa_8574,factual_qa,mandarjoshi/trivia_qa,8574,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,Which U.S. president was born Leslie Lynch King Jr.?,president was born Leslie Lynch King Jr.? Which U.S.
factual_qa_298,factual_qa,mandarjoshi/trivia_qa,298,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"From which country do French fries originate? France, Belgium or Switzerland?","France, Belgium or Switzerland? From which country do French fries originate?"
factual_qa_299,factual_qa,mandarjoshi/trivia_qa,299,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,For what novel did J. K. Rowling win the 1999 Whitbread Children's book of the year award?,Rowling win the 1999 Whitbread Children's book of the year award? For what novel did J. K.
math_reasoning_1226,math_reasoning,openai/gsm8k,1226,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Nina makes one-of-a-kind jewelry and sells it at a local boutique. She charges $25.00 for her necklaces, $15.00 for bracelets and $10.00 for a pair of earrings. Over the weekend, she sold 5 necklaces, 10 bracelets, 20 earrings, and received 2 orders for a complete jewelry ensemble that Nina charged $45.00 for. How much money did she make over the weekend?","How much money did she make over the weekend? Nina makes one-of-a-kind jewelry and sells it at a local boutique. She charges $25.00 for her necklaces, $15.00 for bracelets and $10.00 for a pair of earrings. Over the weekend, she sold 5 necklaces, 10 bracelets, 20 earrings, and received 2 orders for a complete jewelry ensemble that Nina charged $45.00 for."
math_reasoning_1227,math_reasoning,openai/gsm8k,1227,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Francine has five full boxes of crayons and 5 loose crayons, and her friend has 27 loose crayons. They need to put all of their loose crayons in a box. How many more boxes do they need if Francine has a total of 85 crayons?","How many more boxes do they need if Francine has a total of 85 crayons? Francine has five full boxes of crayons and 5 loose crayons, and her friend has 27 loose crayons. They need to put all of their loose crayons in a box."
math_reasoning_1228,math_reasoning,openai/gsm8k,1228,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Making an equal number of drums of paint each day, a paint mixer takes three days to make 18 drums of paint. How many days will it take for him to make 360 drums of paint?","How many days will it take for him to make 360 drums of paint? Making an equal number of drums of paint each day, a paint mixer takes three days to make 18 drums of paint."
math_reasoning_1229,math_reasoning,openai/gsm8k,1229,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Itzayana is 4 inches taller than Zora, who is 8 inches shorter than Brixton. If Zara is 64 inches tall and has the same height as Brixton, calculate the average height of the four people.","If Zara is 64 inches tall and has the same height as Brixton, calculate the average height of the four people. Itzayana is 4 inches taller than Zora, who is 8 inches shorter than Brixton."
math_reasoning_1230,math_reasoning,openai/gsm8k,1230,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Casey wants to decorate her toenails and fingernails. First, she wants to do a base coat on each nail, then a coat of paint and finally a coat of glitter on every nail. It takes 20 minutes to apply each coat and 20 minutes for each coat to dry before applying the next one. Assuming Casey's nails will be done when all coats have been applied and dried, how many minutes will it take her to finish decorating her fingernails and toenails?","Assuming Casey's nails will be done when all coats have been applied and dried, how many minutes will it take her to finish decorating her fingernails and toenails? Casey wants to decorate her toenails and fingernails. First, she wants to do a base coat on each nail, then a coat of paint and finally a coat of glitter on every nail. It takes 20 minutes to apply each coat and 20 minutes for each coat to dry before applying the next one."
code_generation_30,code_generation,bigcode/humanevalpack,30,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Write a Python function `get_positive(l: list)` to solve the following problem: Return only positive numbers in the list. >>> get_positive([-1, 2, -4, 5, 6]) [2, 5, 6] >>> get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) [5, 3, 2, 3, 9, 123, 1]",">>> get_positive([-1, 2, -4, 5, 6]) [2, 5, 6] >>> get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) [5, 3, 2, 3, 9, 123, 1] Write a Python function `get_positive(l: list)` to solve the following problem: Return only positive numbers in the list."
code_generation_31,code_generation,bigcode/humanevalpack,31,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Write a Python function `is_prime(n)` to solve the following problem: Return true if a given number is prime, and false otherwise. >>> is_prime(6) False >>> is_prime(101) True >>> is_prime(11) True >>> is_prime(13441) True >>> is_prime(61) True >>> is_prime(4) False >>> is_prime(1) False",">>> is_prime(6) False >>> is_prime(101) True >>> is_prime(11) True >>> is_prime(13441) True >>> is_prime(61) True >>> is_prime(4) False >>> is_prime(1) False Write a Python function `is_prime(n)` to solve the following problem: Return true if a given number is prime, and false otherwise."
code_generation_32,code_generation,bigcode/humanevalpack,32,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Write a Python function `find_zero(xs: list)` to solve the following problem: xs are coefficients of a polynomial. find_zero find x such that poly(x) = 0. find_zero returns only only zero point, even if there are many. Moreover, find_zero only takes list xs having even number of coefficients and largest non zero coefficient as it guarantees a solution. >>> round(find_zero([1, 2]), 2) # f(x) = 1 + 2x -0.5 >>> round(find_zero([-6, 11, -6, 1]), 2) # (x - 1) * (x - 2) * (x - 3) = -6 + 11x - 6x^2 + x^3 1.0",">>> round(find_zero([1, 2]), 2) # f(x) = 1 + 2x -0.5 >>> round(find_zero([-6, 11, -6, 1]), 2) # (x - 1) * (x - 2) * (x - 3) = -6 + 11x - 6x^2 + x^3 1.0 Write a Python function `find_zero(xs: list)` to solve the following problem: xs are coefficients of a polynomial. find_zero find x such that poly(x) = 0. find_zero returns only only zero point, even if there are many. Moreover, find_zero only takes list xs having even number of coefficients and largest non zero coefficient as it guarantees a solution."
code_generation_33,code_generation,bigcode/humanevalpack,33,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Write a Python function `sort_third(l: list)` to solve the following problem: This function takes a list l and returns a list l' such that l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal to the values of the corresponding indicies of l, but sorted. >>> sort_third([1, 2, 3]) [1, 2, 3] >>> sort_third([5, 6, 3, 4, 8, 9, 2]) [2, 6, 3, 4, 8, 9, 5]",">>> sort_third([1, 2, 3]) [1, 2, 3] >>> sort_third([5, 6, 3, 4, 8, 9, 2]) [2, 6, 3, 4, 8, 9, 5] Write a Python function `sort_third(l: list)` to solve the following problem: This function takes a list l and returns a list l' such that l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal to the values of the corresponding indicies of l, but sorted."
code_generation_35,code_generation,bigcode/humanevalpack,35,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Write a Python function `max_element(l: list)` to solve the following problem: Return maximum element in the list. >>> max_element([1, 2, 3]) 3 >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) 123",">>> max_element([1, 2, 3]) 3 >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) 123 Write a Python function `max_element(l: list)` to solve the following problem: Return maximum element in the list."
open_ended_writing_37731,open_ended_writing,tatsu-lab/alpaca,37731,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Given a sentence in English, please summarize the sentence in fewer than 100 words. Input: The sun rose above the horizon and its light shone through the window, illuminating the room with its warm golden rays.","Input: The sun rose above the horizon and its light shone through the window, illuminating the room with its warm golden rays. Given a sentence in English, please summarize the sentence in fewer than 100 words."
open_ended_writing_37741,open_ended_writing,tatsu-lab/alpaca,37741,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Find five spelling errors in the following text. Input: As my place bacame rallty crowded, I felt so overwelmed, that it rased my heart beat.","Input: As my place bacame rallty crowded, I felt so overwelmed, that it rased my heart beat. Find five spelling errors in the following text."
open_ended_writing_37742,open_ended_writing,tatsu-lab/alpaca,37742,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,Write a research paper on the following topic. Input: Topic: The Impact of Social Media on Mental Health,Input: Topic: The Impact of Social Media on Mental Health Write a research paper on the following topic.
open_ended_writing_37745,open_ended_writing,tatsu-lab/alpaca,37745,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Create a budget for the following person for one month. Input: Jeff lives in an apartment and has an income of $2,400 a month.","Input: Jeff lives in an apartment and has an income of $2,400 a month. Create a budget for the following person for one month."
open_ended_writing_37746,open_ended_writing,tatsu-lab/alpaca,37746,reordering,rule_based_prompt_component_reordering,Reference 5 Haase et al.: information-order variation,token_sequence_non_identical,"Summarize a book review in 100 words or less. Input: The book ""The Catcher in the Rye"" is written by J. D. Salinger.","Salinger. Summarize a book review in 100 words or less. Input: The book ""The Catcher in the Rye"" is written by J. D."
