item_id,task_type,dataset_name,source_index,perturbation_type,original_prompt,perturbed_prompt,semantic_equivalence_checked,notes
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,paraphrasing,"Which act has had more Christmas number one singles than any other?","Which music act has achieved the most Christmas number one singles?",yes,"meaning-preserving rewording"
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,reordering,"Which act has had more Christmas number one singles than any other?","Among all acts, which one has had the most Christmas number one singles?",yes,"same information, reordered phrasing"
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,formatting_changes,"Which act has had more Christmas number one singles than any other?","Answer this question briefly: Which act has had more Christmas number one singles than any other?",yes,"format/instruction wrapper"
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,context_injection,"Which act has had more Christmas number one singles than any other?","For a music trivia practice question, answer this: Which act has had more Christmas number one singles than any other?",yes,"irrelevant but non-conflicting context"
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,surface_noise,"Which act has had more Christmas number one singles than any other?","Which act has had more Chrismtas number one singles than any other?",yes,"minor spelling error"
math_reasoning_400,math_reasoning,openai/gsm8k,400,paraphrasing,"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?","Karen starts a long hike with 20 pounds of water, 10 pounds of food, and 20 pounds of gear in her backpack. Each hour, she drinks 2 pounds of water and eats food equal to one-third of that hourly water weight. After 6 hours, how much weight is she carrying?",yes,"meaning-preserving rewording"
math_reasoning_400,math_reasoning,openai/gsm8k,400,reordering,"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?","During her hike, Karen drinks 2 pounds of water per hour and eats food equal to one-third of that hourly water weight. She started with 20 pounds of water, 10 pounds of food, and 20 pounds of gear. How much weight is she carrying after six hours?",yes,"same information, reordered"
math_reasoning_400,math_reasoning,openai/gsm8k,400,formatting_changes,"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?","Solve the problem. Starting weight: 20 lb water, 10 lb food, 20 lb gear. Consumption per hour: 2 lb water and food equal to 1/3 of the hourly water weight. Time: 6 hours. What is the backpack weight after 6 hours?",yes,"structured formatting"
math_reasoning_400,math_reasoning,openai/gsm8k,400,context_injection,"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?","For a basic arithmetic word-problem exercise, solve this: Karen packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats food equal to one-third of that hourly water weight. How much weight is she carrying after six hours?",yes,"irrelevant but non-conflicting context"
math_reasoning_400,math_reasoning,openai/gsm8k,400,surface_noise,"Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much weight is she carrying after six hours?","Karen is packing her backpack for a long-distance hike. She packs 20 pounds of water, 10 pounds of food, and 20 pounds of gear. During her hike, she drinks 2 pounds of water per hour and eats 1/3rd the weight of food per hour as water per hour. How much wieght is she carrying after six hours?",yes,"minor spelling error"
code_generation_35,code_generation,bigcode/humanevalpack,35,paraphrasing,"Write a Python function `max_element(l: list)` to solve the following problem: Return maximum element in the list. >>> max_element([1, 2, 3]) 3 >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) 123","Create a Python function named `max_element(l: list)` that returns the largest value in the input list. For example, `max_element([1, 2, 3])` should return 3, and `max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])` should return 123.",yes,"meaning-preserving rewording"
code_generation_35,code_generation,bigcode/humanevalpack,35,reordering,"Write a Python function `max_element(l: list)` to solve the following problem: Return maximum element in the list. >>> max_element([1, 2, 3]) 3 >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) 123","Return the maximum element in a list. Write the solution as a Python function named `max_element(l: list)`. Example: `max_element([1, 2, 3])` returns 3. Example: `max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])` returns 123.",yes,"same information, reordered"
code_generation_35,code_generation,bigcode/humanevalpack,35,formatting_changes,"Write a Python function `max_element(l: list)` to solve the following problem: Return maximum element in the list. >>> max_element([1, 2, 3]) 3 >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) 123","Task: Write Python code. Function name: `max_element`. Input: `l: list`. Output: the maximum element in the list. Examples: `max_element([1, 2, 3]) -> 3`; `max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) -> 123`.",yes,"structured formatting"
code_generation_35,code_generation,bigcode/humanevalpack,35,context_injection,"Write a Python function `max_element(l: list)` to solve the following problem: Return maximum element in the list. >>> max_element([1, 2, 3]) 3 >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) 123","For a beginner Python programming exercise, write a function `max_element(l: list)` that returns the maximum element in the list. For example, `max_element([1, 2, 3])` returns 3, and `max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])` returns 123.",yes,"irrelevant but non-conflicting context"
code_generation_35,code_generation,bigcode/humanevalpack,35,surface_noise,"Write a Python function `max_element(l: list)` to solve the following problem: Return maximum element in the list. >>> max_element([1, 2, 3]) 3 >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) 123","Write a Python function `max_element(l: list)` to solve the following problem: Return maxium element in the list. >>> max_element([1, 2, 3]) 3 >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10]) 123",yes,"minor spelling error"
open_ended_writing_13494,open_ended_writing,tatsu-lab/alpaca,13494,paraphrasing,"In a few sentences, describe the importance of sleep.","Write a few sentences explaining why sleep is important.",yes,"meaning-preserving rewording"
open_ended_writing_13494,open_ended_writing,tatsu-lab/alpaca,13494,reordering,"In a few sentences, describe the importance of sleep.","Sleep is important. Describe why in a few sentences.",yes,"same information, reordered"
open_ended_writing_13494,open_ended_writing,tatsu-lab/alpaca,13494,formatting_changes,"In a few sentences, describe the importance of sleep.","In 2-4 sentences, answer: What is the importance of sleep?",yes,"formatting constraint"
open_ended_writing_13494,open_ended_writing,tatsu-lab/alpaca,13494,context_injection,"In a few sentences, describe the importance of sleep.","For a school wellness discussion, in a few sentences, describe the importance of sleep.",yes,"irrelevant but non-conflicting context"
open_ended_writing_13494,open_ended_writing,tatsu-lab/alpaca,13494,surface_noise,"In a few sentences, describe the importance of sleep.","In a few senteces, describe the importance of sleep.",yes,"minor spelling error"
